metro,rats,mice,other_rodents,roaches,total,,,,,,
New Orleans,2.462203,6.328294,1.641469,35.637149,46.069114,,,,,,
Birmingham,1.072706,9.654350,1.382598,29.868892,41.978546,,,,,,
Houston,1.644676,4.297528,1.291581,34.013195,41.246980,,,,,,
Tampa,1.787195,0.985721,0.534316,37.604790,40.912022,,,,,,
Memphis,2.330420,11.048689,0.707449,25.717853,39.804411,,,,,,
San Antonio,1.736111,5.967078,1.286008,27.854938,36.844136,,,,,,
Austin,2.075866,4.211470,1.105137,28.240741,35.633214,,,,,,
New York,1.660937,13.875209,1.166140,18.672180,35.374466,,,,,,
Miami,1.844552,2.001213,0.469982,30.387103,34.702850,,,,,,
Orlando,1.352681,1.155927,0.737826,30.312346,33.558780,,,,,,
Atlanta,1.335085,3.348226,1.014455,27.195795,32.893561,,,,,,
Dallas,1.785830,3.985765,1.378195,24.995147,32.144937,,,,,,
Las Vegas,0.404099,1.226728,0.288642,28.763169,30.682638,,,,,,
Philadelphia,0.696953,19.733428,0.289973,8.322735,29.043089,,,,,,
Charlotte,0.150173,9.896381,0.780898,17.134705,27.962156,,,,,,
Washington DC,0.742668,14.754021,0.808893,11.031220,27.336802,,,,,,
Los Angeles,2.364425,3.895259,0.988534,17.830803,25.079021,,,,,,
Jacksonville,0.881661,0.999216,0.548589,22.511755,24.941223,,,,,,
Forth Worth,1.824401,4.345623,0.886862,17.762574,24.819460,,,,,,
Tucson,0.697425,3.728541,0.482833,19.071888,23.980687,,,,,,
Baltimore,1.031333,16.147726,0.530400,6.070131,23.779589,,,,,,
Oklahoma City,0.532787,10.819672,0.922131,11.372951,23.647541,,,,,,
Virginia Beach,0.729580,6.994449,0.761301,14.306106,22.791435,,,,,,
Phoenix,0.529766,1.503212,0.251639,20.343024,22.627641,,,,,,
Kansas City,0.403175,13.770946,0.818949,7.483936,22.477006,,,,,,
Riverside,2.206854,6.426296,0.823685,12.681638,22.138472,,,,,,
Louisville,0.348028,13.998453,0.386698,6.341841,21.075019,,,,,,
Boston,0.860253,15.888343,0.579354,2.896770,20.224719,,,,,,
Nashville,0.466163,10.561003,0.321492,8.599904,19.948561,,,,,,
San Diego,2.450622,6.364301,0.932699,8.741770,18.489393,,,,,,
Hartford,0.351700,14.771395,0.398593,2.672919,18.194607,,,,,,
Providence,0.766137,13.981996,0.172381,2.873013,17.793526,,,,,,
Rochester,0.844595,14.165058,0.434363,1.761583,17.205598,,,,,,
Richmond,0.184615,9.271795,0.369231,7.364103,17.189744,,,,,,
Minneapolis,0.299608,14.803718,0.253515,1.505723,16.862564,,,,,,
Indianapolis,0.162554,12.324516,0.088666,4.167282,16.743018,,,,,,
St. Louis,0.340746,11.325323,0.125538,4.851148,16.642755,,,,,,
Cincinnati,0.269707,9.856565,0.208410,6.178742,16.513424,,,,,,
Northern NJ,0.569002,9.870005,0.210093,5.532455,16.181556,,,,,,
Anaheim,1.566155,3.244178,0.732228,9.976609,15.519170,,,,,,
San Jose,2.018907,5.015222,0.993431,7.386637,15.414196,,,,,,
Pittsburgh,0.755591,12.290953,0.493653,1.591779,15.131977,,,,,,
Sacramento,2.411637,6.456552,1.314278,4.861554,15.044022,,,,,,
Denver,0.335400,11.169834,0.223600,3.110072,14.838906,,,,,,
Milwaukee,0.286716,11.436763,0.063715,2.612297,14.399490,,,,,,
Cleveland,0.348675,10.529986,0.476523,2.998605,14.353789,,,,,,
Chicago,0.499828,8.859014,0.282661,3.991727,13.633230,,,,,,
Columbus,0.116959,8.932749,0.526316,3.011696,12.587719,,,,,,
San Francisco,1.791418,5.610332,0.472157,4.596584,12.470490,,,,,,
Oakland,1.906966,6.272046,0.793651,3.384039,12.356702,,,,,,
Portland,0.931858,9.004077,0.698893,0.861969,11.496797,,,,,,
Buffalo,0.340570,7.620264,1.128140,1.489996,10.578970,,,,,,
Detroit,0.452856,7.454714,0.487692,1.677891,10.073154,,,,,,
Seattle,2.078639,3.365070,0.814013,1.024784,7.282506,,,,,,
