metro,rats,mice,other,roaches,total,rats_rank,mice_rank,other_rank,roaches_rank,total_rank,,
New Orleans,2.46%,6.33%,1.64%,35.64%,46.07%,1,35,1,2,1,,
Birmingham,1.07%,9.65%,1.38%,29.87%,41.98%,22,24,2,6,2,,
Houston,1.64%,4.30%,1.29%,34.01%,41.25%,18,41,5,3,3,,
Tampa,1.79%,0.99%,0.53%,37.60%,40.91%,14,54,29,1,4,,
Memphis,2.33%,11.05%,0.71%,25.72%,39.80%,5,17,25,11,5,,
San Antonio,1.74%,5.97%,1.29%,27.85%,36.84%,16,37,6,9,6,,
Austin,2.08%,4.21%,1.11%,28.24%,35.63%,8,42,9,8,7,,
New York,1.66%,13.88%,1.17%,18.67%,35.37%,17,10,7,16,8,,
Miami,1.84%,2.00%,0.47%,30.39%,34.70%,11,49,37,4,9,,
Orlando,1.35%,1.16%,0.74%,30.31%,33.56%,20,52,23,5,10,,
Atlanta,1.34%,3.35%,1.01%,27.20%,32.89%,21,47,10,10,11,,
Dallas,1.79%,3.99%,1.38%,25.00%,32.14%,15,43,3,12,12,,
Las Vegas,0.40%,1.23%,0.29%,28.76%,30.68%,40,51,44,7,13,,
Philadelphia,0.70%,19.73%,0.29%,8.32%,29.04%,33,1,43,27,14,,
Charlotte,0.15%,9.90%,0.78%,17.13%,27.96%,53,21,21,19,15,,
Washington DC,0.74%,14.75%,0.81%,11.03%,27.34%,30,6,19,23,16,,
Los Angeles,2.36%,3.90%,0.99%,17.83%,25.08%,4,44,12,17,17,,
Jacksonville,0.88%,1.00%,0.55%,22.51%,24.94%,25,53,28,13,18,,
Forth Worth,1.82%,4.35%,0.89%,17.76%,24.82%,12,40,15,18,19,,
Tucson,0.70%,3.73%,0.48%,19.07%,23.98%,32,45,34,15,20,,
Baltimore,1.03%,16.15%,0.53%,6.07%,23.78%,23,2,30,33,21,,
Oklahoma City,0.53%,10.82%,0.92%,11.37%,23.65%,35,18,14,22,22,,
Virginia Beach,0.73%,6.99%,0.76%,14.31%,22.79%,31,31,22,20,23,,
Phoenix,0.53%,1.50%,0.25%,20.34%,22.63%,36,50,47,14,24,,
Kansas City,0.40%,13.77%,0.82%,7.48%,22.48%,41,11,17,28,25,,
Riverside,2.21%,6.43%,0.82%,12.68%,22.14%,6,33,16,21,26,,
Louisville,0.35%,14.00%,0.39%,6.34%,21.08%,44,8,40,31,27,,
Boston,0.86%,15.89%,0.58%,2.90%,20.22%,26,3,27,44,28,,
Nashville,0.47%,10.56%,0.32%,8.60%,19.95%,38,19,42,26,29,,
San Diego,2.45%,6.36%,0.93%,8.74%,18.49%,2,34,13,25,30,,
Hartford,0.35%,14.77%,0.40%,2.67%,18.19%,42,5,39,46,31,,
Providence,0.77%,13.98%,0.17%,2.87%,17.79%,28,9,51,45,32,,
Rochester,0.84%,14.17%,0.43%,1.76%,17.21%,27,7,38,48,33,,
Richmond,0.18%,9.27%,0.37%,7.36%,17.19%,51,25,41,30,34,,
Minneapolis,0.30%,14.80%,0.25%,1.51%,16.86%,48,4,46,51,35,,
Indianapolis,0.16%,12.32%,0.09%,4.17%,16.74%,52,12,53,38,36,,
St. Louis,0.34%,11.33%,0.13%,4.85%,16.64%,45,15,52,36,37,,
Cincinnati,0.27%,9.86%,0.21%,6.18%,16.51%,50,23,50,32,38,,
Northern NJ,0.57%,9.87%,0.21%,5.53%,16.18%,34,22,49,34,39,,
Anaheim,1.57%,3.24%,0.73%,9.98%,15.52%,19,48,24,24,40,,
San Jose,2.02%,5.02%,0.99%,7.39%,15.41%,9,39,11,29,41,,
Pittsburgh,0.76%,12.29%,0.49%,1.59%,15.13%,29,13,32,50,42,,
Sacramento,2.41%,6.46%,1.31%,4.86%,15.04%,3,32,4,35,43,,
Denver,0.34%,11.17%,0.22%,3.11%,14.84%,47,16,48,41,44,,
Milwaukee,0.29%,11.44%,0.06%,2.61%,14.40%,49,14,54,47,45,,
Cleveland,0.35%,10.53%,0.48%,3.00%,14.35%,43,20,35,43,46,,
Chicago,0.50%,8.86%,0.28%,3.99%,13.63%,37,28,45,39,47,,
Columbus,0.12%,8.93%,0.53%,3.01%,12.59%,54,27,31,42,48,,
San Francisco,1.79%,5.61%,0.47%,4.60%,12.47%,13,38,36,37,49,,
Oakland,1.91%,6.27%,0.79%,3.38%,12.36%,10,36,20,40,50,,
Portland,0.93%,9.00%,0.70%,0.86%,11.50%,24,26,26,54,51,,
Buffalo,0.34%,7.62%,1.13%,1.49%,10.58%,46,29,8,52,52,,
Detroit,0.45%,7.45%,0.49%,1.68%,10.07%,39,30,33,49,53,,
Seattle,2.08%,3.37%,0.81%,1.02%,7.28%,7,46,18,53,54,,
